ggl_name,bng_name,reach
Berliner Zeitung,,693845
Braunschweiger Zeitung,,592178
Freie Presse,,1189663
Frankfurter Rundschau,,328169
Reutlinger General-Anzeiger,,399317
Hannoversche Allgemeine,,740726
Kieler Nachrichten,,21096
Kölner Stadt-Anzeiger,,1575576
Lausitzer Rundschau,,638801
Lübecker Nachrichten,,478190
Märkische Allgemeine,,639425
Presseportal.de (Pressemitteilung),,1312679
Merkur.de,,1272057
Nordkurier,,21096
Nordbayern.de,,1381567
Oberhessische Zeitung,,115182
Ostsee Zeitung,,848769
Passauer Neue Presse,,21096
Pforzheimer Zeitung,,468814
Rheinpfalz.de,,1137155
Ruhr Nachrichten,,1054832
Saarbrücker Zeitung,,600897
Sächsische Zeitung,,1489371
Schwäbische,,757936
svz.de,,21096
Stuttgarter Zeitung,,937628
Stuttgarter Nachrichten,,1017326
SÜDKURIER Online,,609458
BILD,,16633529
Express.co.uk,,6155787
The Citizen Daily,,565075
The Reporter Belize,,234407
Berliner Kurier,,564232
Hamburger Morgenpost,,543097
Abendzeitung,,65633
Stars and Stripes,,21096
Neue Westfälische,,21096
Schwarzwälder Bote,,21096
Westfalenpost,,21096
Westfälische Nachrichten,,21096
Η Αυγή,,11060
Ελεύθερος Τύπος,,11060
Ethnos,,11060
Ριζοσπάστης,,11060
Το Βήμα Online,,1051050
naftemporiki.gr,,11060
Πρώτο ΘΕΜΑ,,11060
Ηπειρωτικός Αγών online,,11060
LiFO,,11060
Athens Voice Online,,1382536
Balkan Insight,,11060
Εφημερίδα Ημέρα~ Ζάκυνθος,,11060
BEST News,,11060
Ατέχνως (Δελτίο Τύπου),,11060
Ημερήσια - Βέροια,,11060
ΚΕΡΔΟΣ Online,,11060
Kontranews (Ιστολόγιο),,11060
El Mundo,,11060
Αγγελιοφόρος της Ηπείρου (Ιστολόγιο),,11060
Typosthes,,11060
athlitiki.com,,11060
Politis News (Δελτίο Τύπου) (Ιστολόγιο),,11060
MetroSport.gr,,11060
Paraskhnio.gr (Δελτίο Τύπου) (Ιστολόγιο),,11060
29 Δυτικά,,11060
The National Herald (press release) (blog),,11060
Conspiracy Watch,,11060
Η ΓΝΩΜΗ (Δελτίο Τύπου),,11060
Newsit,,11060
The TOC,,11060
neakriti.gr,,11060
Neolaia.gr,,11060
ΠΑΤΡΙΣ (Σάτιρα),,11060
ΕΡΤ,,11060
Blikk.hu,,226529
Budapester Zeitung (Blog),,2562
Magyar Hírlap,,30814
Nemzeti Sport,,81242
Népszava,,8987
Portfolio,,2562
Világgazdaság,,2562
Válasz.hu,,17083
Magyar Demokrata,,2562
hvg.hu,,2562
Pester Lloyd,,2562
Szabad Föld,,70266
autobild.de,,320303
Budapest Times,,2562
FourFourTwo,,55498
GEO.fr,,427092
InStyle,,1546536
menshealth.com,,640639
PCWorld,,303335
AZONNALI (szatíra) (Blog),,2562
Hungary Today,,30814
Mérce,,2562
Kitekintő,,2562
Journal Francophone de Budapest,,2562
Magyar Kurír,,2562
Mandiner.hu,,2562
